date,tempmin,tempmax,tempavg,humidity
2023-03-08,33.44,46.22,40.46,84.0
2023-03-09,42.62,61.52,50.9,59.4
2023-03-10,39.92,50.9,46.04,66.7
2023-03-11,32.54,41.54,35.42,95.4
2023-03-12,34.52,53.96,41.0,91.0
2023-03-13,36.86,60.8,49.28,69.7
2023-03-14,37.04,50.54,43.34,85.2
2023-03-15,32.9,47.48,39.02,69.0
2023-03-16,29.84,53.24,39.74,66.0
2023-03-17,33.62,59.18,44.6,70.6
2023-03-18,38.12,60.8,48.56,67.8
2023-03-19,42.98,54.14,47.66,80.3
2023-03-20,42.8,56.3,47.3,81.7
2023-03-21,37.04,58.64,46.76,75.0
2023-03-22,38.66,64.4,50.36,66.9
2023-03-23,44.06,64.4,52.88,67.2
2023-03-24,47.48,55.94,51.08,83.7
2023-03-25,40.28,51.08,46.22,73.1
2023-03-26,37.94,49.28,42.26,88.0
2023-03-27,33.44,42.44,38.66,80.9
2023-03-28,30.2,47.84,38.48,71.9
2023-03-29,40.46,53.42,45.86,86.2
2023-03-30,45.68,56.84,50.0,92.1
2023-03-31,42.44,53.42,47.12,85.9
2023-04-01,40.64,54.14,46.4,72.7
2023-04-02,37.4,51.44,44.6,81.9
2023-04-03,38.12,43.34,41.54,80.8
2023-04-04,30.38,43.16,37.58,61.1
2023-04-05,28.76,49.28,39.38,59.1
2023-04-06,29.84,52.7,41.36,55.4
2023-04-07,37.94,47.12,42.62,73.3
2023-04-08,32.0,54.14,42.98,74.2
2023-04-09,36.14,57.2,46.04,70.2
2023-04-10,34.88,60.8,48.56,64.9
2023-04-11,40.28,53.96,49.64,76.8
2023-04-12,43.7,60.8,49.82,80.2
2023-04-13,35.06,46.4,40.46,82.3
2023-04-14,36.68,52.34,42.98,73.3
2023-04-15,41.18,44.78,42.98,83.4
2023-04-16,41.18,44.24,42.8,92.0
2023-04-17,41.9,54.5,47.3,80.5
2023-04-18,40.46,62.06,49.82,73.0
2023-04-19,40.46,58.1,49.46,75.0
2023-04-20,38.48,50.72,43.16,88.4
2023-04-21,35.78,53.06,44.24,87.0
2023-04-22,39.92,60.08,50.0,79.0
2023-04-23,48.74,63.14,54.32,80.7
2023-04-24,45.14,56.3,50.0,71.5
2023-04-25,41.18,49.28,45.32,79.5
2023-04-26,36.68,57.38,47.3,71.7
2023-04-27,41.36,64.58,53.78,68.9
2023-04-28,51.44,61.7,55.76,77.9
2023-04-29,52.34,66.56,56.66,84.1
2023-04-30,45.32,59.0,52.7,85.6
